# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 14K of event 'cycles:u'
# Event count (approx.): 73173668235
#
#     Self  Shared Object         Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 IPC   [IPC Coverage]
# ........  ....................  .....................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................  ....................
#
     2.29%  [JIT] tid 313537      [.] JS:*'handleWithContext file:///tmp/binding-perf-release-bench.V6BOGG/node_modules/@swarmmachina/swm-core/src/server/http-runtime.js:130:23                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         -      -
     2.11%  node-v137.node        [.] uWS::AsyncSocket<false>::write(char const*, int, bool, int)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        -      -
     1.92%  node                  [.] Builtins_RecordWriteSaveFP                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         -      -
     1.62%  node                  [.] v8::internal::DirectHandle<v8::internal::String> v8::internal::StringTable::LookupKey<v8::internal::InternalizedStringKey, v8::internal::Isolate>(v8::internal::Isolate*, v8::internal::InternalizedStringKey*)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    -      -
     1.59%  node                  [.] v8::internal::(anonymous namespace)::TryFastAddDataProperty(v8::internal::Isolate*, v8::internal::DirectHandle<v8::internal::JSObject>, v8::internal::DirectHandle<v8::internal::Name>, v8::internal::DirectHandle<v8::internal::Object>, v8::internal::PropertyAttributes)                                                                                                                                                                                                                                                                                                                                                                                                                                        -      -
     1.55%  node                  [.] v8::internal::String::ComputeAndSetRawHash(v8::internal::SharedStringAccessGuardIfNeeded const&)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   -      -
     1.53%  libc.so.6             [.] __memmove_avx_unaligned_erms_rtm                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   -      -
     1.47%  node                  [.] v8::internal::(anonymous namespace)::Invoke(v8::internal::Isolate*, v8::internal::(anonymous namespace)::InvokeParams const&)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      -      -
     1.44%  [JIT] tid 313537      [.] JS:*'cacheRequest file:///tmp/binding-perf-release-bench.V6BOGG/node_modules/@swarmmachina/swm-core/src/http-context.js:315:15                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     -      -
     1.38%  node                  [.] v8::Object::CreateDataProperty(v8::Local<v8::Context>, v8::Local<v8::Name>, v8::Local<v8::Value>)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  -      -
     1.30%  [JIT] tid 313537      [.] JS:*'onResolve file:///tmp/binding-perf-release-bench.V6BOGG/node_modules/@swarmmachina/swm-core/src/http-context.js:98:15                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         -      -
     1.27%  node-v137.node        [.] uWS::HttpResponse<false>::internalEnd(std::basic_string_view<char, std::char_traits<char> >, unsigned long, bool, bool, bool)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      -      -
     1.27%  node                  [.] v8::internal::Factory::CopyJSObjectWithAllocationSite(v8::internal::DirectHandle<v8::internal::JSObject>, v8::internal::DirectHandle<v8::internal::AllocationSite>)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                -      -
     1.21%  node                  [.] v8::internal::JSObject::MigrateToMap(v8::internal::Isolate*, v8::internal::DirectHandle<v8::internal::JSObject>, v8::internal::DirectHandle<v8::internal::Map>, int)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               -      -
