# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 14K of event 'cycles:u'
# Event count (approx.): 72707943828
#
# Overhead  Shared Object         Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 IPC   [IPC Coverage]
# ........  ....................  .....................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................  ....................
#
     2.49%  node-v137.node        [.] uWS::AsyncSocket<false>::write(char const*, int, bool, int)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        -      -
     2.06%  [JIT] tid 313430      [.] JS:*'handleWithContext file:///tmp/binding-perf-release-bench.V6BOGG/node_modules/@swarmmachina/swm-core/src/server/http-runtime.js:130:23                                                                                                                                                                                                                                                                                                                                                                                                                                                                         -      -
     2.03%  node                  [.] Builtins_RecordWriteSaveFP                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         -      -
     1.87%  node                  [.] v8::internal::(anonymous namespace)::TryFastAddDataProperty(v8::internal::Isolate*, v8::internal::DirectHandle<v8::internal::JSObject>, v8::internal::DirectHandle<v8::internal::Name>, v8::internal::DirectHandle<v8::internal::Object>, v8::internal::PropertyAttributes)                                                                                                                                                                                                                                                                                                                                        -      -
     1.81%  libc.so.6             [.] __memmove_avx_unaligned_erms_rtm                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   -      -
     1.66%  node-v137.node        [.] ofats::any_detail::handler_traits<void*, void*, uWS::HttpRequest*>::small_handler<uWS::HttpContext<false>::init()::{lambda(us_socket_t*, char*, int)#1}::operator()(us_socket_t*, char*, int) const::{lambda(void*, uWS::HttpRequest*)#1}>::call(ofats::any_detail::storage&, void*, uWS::HttpRequest*)                                                                                                                                                                                                                                                                                                            -      -
     1.61%  [JIT] tid 313430      [.] JS:*'onResolve file:///tmp/binding-perf-release-bench.V6BOGG/node_modules/@swarmmachina/swm-core/src/http-context.js:98:15                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         -      -
     1.60%  node                  [.] v8::internal::(anonymous namespace)::Invoke(v8::internal::Isolate*, v8::internal::(anonymous namespace)::InvokeParams const&)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      -      -
     1.55%  node                  [.] v8::Object::CreateDataProperty(v8::Local<v8::Context>, v8::Local<v8::Name>, v8::Local<v8::Value>)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  -      -
     1.50%  node                  [.] v8::internal::GlobalHandles::Destroy(unsigned long*)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               -      -
     1.48%  node-v137.node        [.] uWS::HttpResponse<false>::internalEnd(std::basic_string_view<char, std::char_traits<char> >, unsigned long, bool, bool, bool)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      -      -
     1.46%  node-v137.node        [.] uWS::HttpParser::consumePostPadded(char*, unsigned int, void*, void*, ofats::any_invocable<void* (void*, uWS::HttpRequest*)>&&, ofats::any_invocable<void* (void*, std::basic_string_view<char, std::char_traits<char> >, unsigned long)>&&) [clone .constprop.0]                                                                                                                                                                                                                                                                                                                                                  -      -
     1.43%  node                  [.] v8::Object::SetAlignedPointerInInternalField(int, void*)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           -      -
     1.40%  node                  [.] v8::internal::Factory::CopyJSObjectWithAllocationSite(v8::internal::DirectHandle<v8::internal::JSObject>, v8::internal::DirectHandle<v8::internal::AllocationSite>)                                                                                                                                                                                                                                                                                                                                                                                                                                                -      -
     1.35%  node                  [.] v8::internal::JSObject::MigrateToMap(v8::internal::Isolate*, v8::internal::DirectHandle<v8::internal::JSObject>, v8::internal::DirectHandle<v8::internal::Map>, int)                                                                                                                                                                                                                                                                                                                                                                                                                                               -      -
     1.20%  node                  [.] Builtins_GetProperty                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               -      -
